inst_hash,base_features_runtime,clauses,variables,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10p,horn,invhorn,positive,negative,hornvars_mean,hornvars_variance,hornvars_min,hornvars_max,hornvars_entropy,invhornvars_mean,invhornvars_variance,invhornvars_min,invhornvars_max,invhornvars_entropy,balancecls_mean,balancecls_variance,balancecls_min,balancecls_max,balancecls_entropy,balancevars_mean,balancevars_variance,balancevars_min,balancevars_max,balancevars_entropy,vcg_vdegree_mean,vcg_vdegree_variance,vcg_vdegree_min,vcg_vdegree_max,vcg_vdegree_entropy,vcg_cdegree_mean,vcg_cdegree_variance,vcg_cdegree_min,vcg_cdegree_max,vcg_cdegree_entropy,vg_degree_mean,vg_degree_variance,vg_degree_min,vg_degree_max,vg_degree_entropy,cg_degree_mean,cg_degree_variance,cg_degree_min,cg_degree_max,cg_degree_entropy,bytes,ccs
07c50b89d97a55b6e1629999a445a2ba,141683,14756,0,28329,31154,82200,0,0,0,0,0,0,40414,40410,3492,3496,6.53,21.57,2,64,0.54,6.53,21.72,2,64,0.54,0.84,0.08,0,1,0.44,0.89,0.01,0.40,1,0.02,32.46,565.79,6,113,0.80,3.38,0.64,2,4,0.88,115.81,8453.65,17,422,0.80,168.63,11078.08,12,438,0.94,2936560,1,2
07e6413459f92b613498a719125b6239,63952,14400,78,34920,27488,1466,0,0,0,0,0,0,61082,22140,360,14041,10.30,49.15,1,56,0.72,3.15,13.69,0,46,0.46,0.56,0.14,0,1,0.64,0.51,0.10,0,1,0.63,10.99,65.98,1,75,0.70,2.47,0.30,1,4,0.57,28.51,482.04,1,203,0.76,42.05,492.12,1,217,0.84,1042042,2,0
0876c518e5653369e20fb1ee0bb8db40,91703,30587,1,61138,30563,0,0,0,0,0,0,1,69156,69083,8326,8769,5.01,388.06,2,816,0.34,5.02,374.29,2,778,0.34,0.66,0.15,0,1,0.49,0.69,0.00,0.67,1,0.00,7.00,974.50,5,1272,0.19,2.33,0.22,1,13,0.46,16.99,6092.77,12,3180,0.19,341.36,287245.90,10,2579,0.64,1384538,1,0
089f909e37b3ef0c4d90687f7e22b68f,9984,3008,128,2368,7488,0,0,0,0,0,0,0,4800,7680,66,1790,3.91,5.91,2,11,0.87,6.79,14.12,3,29,0.67,0.53,0.11,0,1,0.57,0.94,0.01,0.50,1,0.01,9.09,25.95,3,38,0.75,2.74,0.22,1,3,0.56,25.60,220.54,5,112,0.75,32.69,254.61,3,76,0.74,156968,1,0
08be288536c3178e6874a5676493923c,602145,203492,1,401452,200692,0,0,0,0,0,0,0,436480,315490,85931,251629,4.46,26.39,0,264,0.38,3.91,46.07,0,263,0.35,0.34,0.18,0,1,0.58,0.71,0.01,0,1,0.30,6.90,65.98,1,269,0.30,2.33,0.22,1,3,0.58,16.77,412.17,3,672,0.29,38.41,3349.27,2,483,0.63,11085592,1,3
08ccc34df5d8eb9e9d45278af3dc093d,8896,2688,128,2112,6656,0,0,0,0,0,0,0,4288,6848,71,1593,3.90,5.71,2,10,0.87,6.76,12.42,3,26,0.68,0.53,0.11,0,1,0.58,0.94,0.01,0.50,1,0.01,9.05,22.95,3,34,0.76,2.73,0.22,1,3,0.56,25.48,193.82,5,100,0.76,31.67,205.14,3,68,0.75,138767,1,0
093fa3ff9f7bc9979c43f9d2310ac21d,130975382,48505464,5113533,84937117,40844231,0,32000,0,0,0,0,48501,98695546,97057968,16222396,22056400,4.21,14880.60,1,825099,0.41,4.52,5093.76,2,450107,0.34,0.58,0.18,0,1,0.37,0.67,0.03,0.02,1,0.00,6.16,16489.50,2,850137,0.35,2.28,0.47,1,129,0.37,15.32,103084.15,5,2125341,0.38,6120.78,4670335939.88,4,874908,0.62,3024811242,3,226
096e485489025895cdc59887baafa08b,2509155,560348,0,944674,1522110,7341,4632,3577,3205,2331,2593,18692,1699993,1468524,91818,360833,7.80,166.87,1,884,0.43,6.96,179.30,0,869,0.41,0.54,0.11,0,1,0.18,0.83,0.04,0.04,1,0.00,12.50,502.16,3,1420,0.51,2.79,3.62,2,49,0.22,51.08,10005.71,6,4162,0.56,147.02,65276.80,6,24241,0.70,56097551,1,9
09b61bbf19748094a7d896aac314ab36,5402,600,0,4922,0,122,236,122,0,0,0,0,4922,480,480,4922,16.41,3.20,12,20,0.90,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.04,20.41,3.20,16,24,0.90,2.27,0.77,2,6,0.28,53.22,28.81,40,64,0.90,46.61,344.34,32,139,0.69,67290,1,0
09c1b79b1cfe3522364fe60aef780703,5399,600,0,4919,0,119,242,119,0,0,0,0,4919,480,480,4919,16.40,3.19,12,20,0.90,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.04,20.40,3.19,16,24,0.90,2.27,0.77,2,6,0.28,53.19,28.70,40,64,0.90,46.59,343.52,32,138,0.69,67305,1,0
09d7add3bf3b75c5d1023a92e752989a,1085,221,1,924,94,6,0,60,0,0,0,0,1005,393,80,613,9.48,28.47,0,17,0.72,4.73,8.71,0,11,0.85,0.32,0.20,0,1,0.36,0.65,0.11,0,1,0.47,11.38,56.46,0,22,0.64,2.32,0.89,1,6,0.34,30.76,546.90,0,64,0.72,37.88,609.52,4,132,0.60,11861,2,0
0a02751cacf5e1cdfcc842a7f220199f,204019,62500,1,86062,117956,0,0,0,0,0,0,0,129324,109116,22033,59267,4.83,241.99,1,706,0.37,4.69,301.41,1,890,0.38,0.39,0.13,0,1,0.66,0.79,0.02,0.33,1,0.00,8.42,864.99,2,1400,0.32,2.58,0.24,1,3,0.62,22.49,6797.92,4,3896,0.36,286.68,190067.22,2,2665,0.72,3622923,1,1
0a27eb7c16c1e69ff4d087d217ac89cb,7821,1419,0,0,7821,0,0,0,0,0,0,0,7458,363,363,7458,15.77,98.36,0,31,0.78,0.77,0.18,0,1,0.78,0,0,0,0,0,0.06,0.01,0.03,1,0.06,16.53,105.87,0,32,0.78,3,0,3,3,0,49.60,952.85,0,96,0.78,68.81,91.90,6,96,0.81,133343,331,0
0ac5ff376b826f68d384ba05a1d00de0,1423778,162928,2242,1389678,3876,8432,6936,4522,0,0,0,8092,1391920,516182,12,909826,17.07,390.20,1,89,0.54,7.97,51.47,2,91,0.55,0.34,0.22,0,1,0.15,0.42,0.04,0.02,1,0.00,19.11,394.57,2,91,0.56,2.19,5.94,1,89,0.06,93.67,7647.00,5,270,0.81,86.95,4348.82,3,2027,0.72,23961331,1,9
0ac6aaf6db6a0e4ec3a06e865d01086f,12813,2010,48,2194,10546,1,0,0,0,0,1,23,11107,1754,62,9393,15.44,275.50,1,143,0.59,2.68,4.91,1,15,0.44,0.13,0.05,0,0.50,0.83,0.16,0.01,0,1,0.59,18.09,340.51,1,157,0.58,2.84,0.31,1,13,0.23,53.34,2898.61,1,469,0.56,104.76,2017.94,1,1096,0.89,212399,10,0
0bad2ce307bf5b68db26fa34e252c9d4,253853,21888,0,228896,8522,5246,0,0,0,0,0,11189,235659,16218,7762,226219,21.88,1312.61,1,1225,0.79,17.63,295.67,1,90,0.61,0.05,0.04,0,1,0.10,0.42,0.08,0,1,0.80,40.12,1864.91,2,1297,0.85,3.46,280.87,2,1661,0.14,3396.21,13046686.45,6,31063,0.76,299.57,991678.00,5,94849,0.62,5613715,1,2
0cace8a29a1d6b225a8da561d35e8f5a,117639554,46032031,9220149,72279626,36139768,0,0,0,0,0,10,1,92972952,86558475,16371863,19607894,4.09,20973.01,2,573681,0.37,4.10,44205.67,1,1147031,0.26,0.57,0.18,0,1,0.44,0.68,0.05,0,1,0.33,5.70,60789.09,2,1147141,0.38,2.23,0.33,1,11,0.54,13.55,379935.58,5,2867851,0.39,23799.30,16151997764.56,4,1614098,0.57,2653918496,20483,195
0cfe9c90d3a51435a5e4dba7634b882f,1227753,377084,1,557564,670187,0,0,0,0,0,0,1,835441,949105,387,98559,5.17,429.67,2,770,0.49,6.07,514.41,2,1024,0.45,0.69,0.10,0,1,0.40,0.79,0.02,0.00,1,0.00,8.29,1241.90,4,1536,0.49,2.55,0.30,1,257,0.50,22.09,9680.45,8,4348,0.44,402.53,522731.02,9,2578,0.66,23680304,1,4
0d3160b80aa406bfc718c007265b9e73,29784400,2487639,415129,25049366,3247234,401287,55,25,36,58,22,671188,26559119,6093010,884394,22172522,21.89,2324.83,0,9000,0.38,12.21,1321.60,0,14041,0.33,0.15,0.10,0,1,0.17,0.58,0.15,0.00,1,0.00,34.51,8416.16,0,17982,0.39,2.88,42.44,1,11015,0.11,607.53,5827529.44,0,75568,0.40,802.38,7307664.94,3,152344,0.36,750748051,40029,85
0d3fcbb89bfb8e821058ba3ea4284de1,48881,14560,806,24220,17792,6063,0,0,0,0,0,0,38643,28347,207,6041,6.50,18.97,0,56,0.63,4.42,12.16,0,46,0.53,0.63,0.12,0,1,0.61,0.53,0.09,0,1,0.59,8.71,36.85,1,78,0.64,2.60,0.52,1,4,0.75,24.37,313.47,1,208,0.71,33.59,567.67,1,224,0.80,820002,73,0
0d81711a3d73c828e8c6e12607eda82d,7841,1419,20,0,7821,0,0,0,0,0,0,0,7478,383,383,7458,15.78,98.51,0,31,0.78,0.78,0.20,0,2,0.56,0,0,0,0,0,0.06,0.01,0.03,1,0.06,16.55,106.03,0,32,0.78,2.99,0.01,1,3,0.03,49.62,953.29,0,96,0.73,68.75,97.33,5,96,0.78,133465,331,0
0e5ffe8651c6d9c3cccc3f6cb72be39a,1089831,245249,0,409824,661970,3246,1998,1492,1334,988,1090,7889,735691,642758,38605,156110,7.70,147.62,1,651,0.44,6.95,150.03,1,642,0.43,0.54,0.11,0,1,0.18,0.83,0.04,0.04,1,0.00,12.38,433.10,3,1046,0.52,2.79,3.53,2,49,0.22,50.19,9255.10,6,3086,0.57,131.97,39226.50,6,17821,0.73,23517944,1,5
0ef029cb7616d4a89eb6d1f63e89f67e,6888,1020,0,0,2064,3024,1548,252,0,0,0,0,2064,1800,252,2064,6.07,24.01,0,28,0.74,9.07,38.89,0,35,0.88,0.50,0.21,0,1,0.64,0.89,0.01,0.80,1,0.03,27.00,237.92,0,90,0.80,4.00,0.67,3,6,0.85,112.48,4129.49,0,376,0.85,143.18,2327.94,45,378,0.84,135069,45,0
0f262afd5b117000f8b4734d175aadab,36758951,2931243,519529,31252164,3697059,449799,55,25,36,58,22,840204,32999724,7269190,1099792,27677550,23.03,2701.86,0,10032,0.37,12.62,1526.40,0,15769,0.32,0.15,0.10,0,1,0.16,0.56,0.15,0.00,1,0.00,36.14,9891.46,0,20046,0.38,2.88,43.32,1,12343,0.11,647.39,7402320.29,0,94497,0.39,892.94,9437728.66,3,190638,0.35,933711318,44653,103
0fa8623240b5c14c1308f863a6dc88ab,26968,13313,102,13912,12954,0,0,0,0,0,0,0,26393,13886,575,230,4.93,94.57,1,104,0.09,2.08,0.64,1,13,0.07,0.73,0.08,0,1,0.42,0.98,0.02,0,1,0.05,5.02,112.19,2,116,0.07,2.48,0.26,1,3,0.65,12.94,955.39,4,334,0.09,67.81,3650.78,3,232,0.50,410416,1,0
0fa9521ff633b27be11525a7b0f7d8b6,9086,2200,0,0,9086,0,0,0,0,0,0,0,4510,4576,1158,1102,6.15,6.22,0,16,0.82,6.24,6.05,0,19,0.78,0.38,0.05,0,0.50,0.81,0.65,0.05,0,1,0.78,12.39,12.32,3,27,0.83,3,0,3,3,0,37.17,110.89,9,81,0.83,40.15,38.71,19,65,0.86,154273,1,0
1009c791cee542cdf19651fe25e6881a,234322,112049,2640,80956,133508,15742,24,24,48,0,0,1380,153116,126611,4301,47004,3.41,96.70,0,178,0.39,3.13,88.37,0,178,0.37,0.47,0.10,0,1,0.29,0.93,0.03,0.03,1,0.00,5.95,241.48,0,355,0.40,2.84,6.11,1,65,0.42,29.68,3555.38,0,1047,0.40,132.38,26641.37,3,3811,0.73,4744713,43193,1
1156429862d3c03160406d6d1a786f11,106853,2720,0,6120,0,100555,0,0,0,170,0,8,106675,1538,8,105315,152.38,77964.36,8,1191,0.80,2.00,3.50,1,9,0.80,0.01,0.01,0,1,0.02,0.07,0.00,0.01,0.12,0.01,153.38,77964.36,9,1192,0.80,3.90,2.31,2,170,0.17,689.50,1160295.75,186,4756,0.80,2583.44,336251.30,18,2724,0.16,2702877,1,1
1165e12b6addad01b491c4616306186c,13871,4656,2,9246,4623,0,0,0,0,0,0,0,10215,6836,2485,6034,4.61,11.86,1,59,0.42,3.71,4.27,1,39,0.43,0.31,0.17,0,1,0.54,0.73,0.00,0,1,0.31,6.95,14.98,1,77,0.30,2.33,0.22,1,3,0.58,16.88,94.08,1,192,0.30,21.25,270.43,1,153,0.54,197817,2,0
11cc532ecddfb10a47e0a869b4867c1b,264806,49869,1,252314,10334,220,0,0,0,0,0,1937,262129,172152,2640,82876,10.71,21.63,0,40,0.50,8.30,31.00,0,21,0.78,0.66,0.22,0,1,0.31,0.66,0.05,0,1,0.55,12.22,31.90,0,42,0.63,2.30,9.30,1,38,0.12,77.52,7687.84,0,214,0.58,34.14,2857.60,2,646,0.56,4352728,2,1
12b4a08e412a3bffb513ca65639c7c69,18688,15222,0,0,18688,0,0,0,0,0,0,0,9344,9344,9344,9344,1.84,11.14,0,16,0.39,1.84,11.14,0,16,0.39,0,0,0,0,0,1,0,1,1,0,3.68,44.57,0,32,0.39,3,0,3,3,0,11.05,401.16,0,96,0.39,47.36,34.09,28,70,0.80,360344,11422,0
13ae2628d8e113db1786dba41a65fe38,4503,500,0,4103,0,103,194,103,0,0,0,0,4103,400,400,4103,16.41,3.21,12,20,0.89,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.05,20.41,3.21,16,24,0.89,2.27,0.77,2,6,0.28,53.24,28.93,40,64,0.89,46.62,344.78,32,138,0.69,55815,1,0
1427381a809c64c721838894ece6756d,4688614,138711,1,3899031,729157,620,552,373,613,586,573,57108,3275671,3302648,1078309,1053461,49.86,32478.08,0,5500,0.55,50.27,33015.10,0,7047,0.55,0.48,0.22,0,1,0.12,0.57,0.20,0.01,1,0.01,100.42,199682.14,2,14116,0.50,2.97,78.41,1,352,0.10,2948.68,719591176.58,6,822286,0.52,6205.88,1470020359.92,12,1597970,0.86,102777307,1,31
14e4cfcf0d83b2185fad41684d00d4dc,5406,600,0,4926,0,126,228,126,0,0,0,0,4926,480,480,4926,16.42,3.27,12,20,0.90,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.04,20.42,3.27,16,24,0.90,2.27,0.77,2,6,0.28,53.26,29.46,40,64,0.90,46.64,345.40,32,137,0.69,67417,1,0
14ea5857d75ae2b235a3ba97373ea732,124822,15978,0,109092,5924,3024,0,0,0,0,0,6782,113869,10153,3330,107090,14.59,1470.50,0,1296,0.77,13.20,94.05,1,93,0.72,0.06,0.05,0,1,0.15,0.46,0.06,0,1,0.84,28.23,1799.82,2,1361,0.77,3.61,214.31,2,1741,0.18,1776.22,2317416.34,6,12480,0.85,332.41,342896.20,5,52524,0.70,2859444,1,1
1507d9812624b3e0eaf15e40100be020,5405,600,0,4925,0,125,230,125,0,0,0,0,4925,480,480,4925,16.42,3.46,12,20,0.91,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.04,20.42,3.46,16,24,0.91,2.27,0.77,2,6,0.28,53.25,31.17,40,64,0.91,46.66,347.06,32,139,0.69,67401,1,1
1545660e72158c7e90da5ad4c877a124,276273,85230,1,107986,168286,0,0,0,0,0,0,0,181172,143724,35125,73081,5.11,947.63,2,8322,0.41,4.49,952.29,0,8330,0.40,0.39,0.13,0,1,0.66,0.83,0.02,0.33,1,0.00,8.46,3778.47,2,16652,0.42,2.61,0.24,1,3,0.61,22.84,25487.80,4,42222,0.41,1187.72,15807439.17,2,22817,0.61,5122291,1,1
1548977b4e27032fe07cda357782cd6a,4218,750,1,404,1045,2768,0,0,0,0,0,0,2379,2091,37,82,10.77,391.40,4,136,0.49,9.67,402.60,2,136,0.51,0.43,0.05,0,1,0.53,0.90,0.01,0.67,1,0.03,20.02,1607.93,5,272,0.55,3.56,0.44,1,4,0.61,73.75,26218.18,12,1088,0.54,357.18,87618.43,5,792,0.84,66138,1,0
16c27d738cb45b766b8823ca4f428cf0,43649,760,0,43609,0,0,0,0,0,0,0,40,43609,40,40,43609,114.76,260.63,63,165,0.93,1,0,1,1,0,0,0,0,0,0,0.01,0.00,0.01,0.02,0.04,115.76,260.63,64,166,0.93,2.02,0.26,2,19,0.01,248.52,1042.51,145,349,0.93,237.86,4101.61,130,2519,0.86,514205,1,0
16c5482d8e658b54e20d59cfd4b1d588,2039,511,0,76,1963,0,0,0,0,0,0,0,1056,1021,274,257,6.09,4.92,1,12,0.87,5.88,4.88,1,12,0.87,0.38,0.06,0,1,0.54,0.97,0.00,0.67,1,0.04,11.82,7.73,7,16,0.71,2.96,0.04,2,3,0.23,35.17,68.79,20,48,0.73,36.96,31.90,16,48,0.78,29956,1,0
16ca57f2cdffd5b0260fc771017e1f04,7190,1250,1,646,1736,4807,0,0,0,0,0,0,4079,3583,45,104,11.16,549.88,4,196,0.45,10.01,561.84,2,196,0.45,0.43,0.04,0,1,0.51,0.91,0.01,0.67,1,0.02,20.58,2236.80,5,392,0.47,3.58,0.42,1,4,0.60,76.10,36275.53,12,1568,0.46,462.53,167226.60,5,1016,0.80,117210,1,0
170a7d847694ee4cfa5c421757672882,323431,26277,0,292336,11353,5256,0,0,0,0,0,14486,302058,20947,10982,288550,23.40,895.51,0,1156,0.80,18.04,421.80,1,96,0.57,0.04,0.03,0,1,0.09,0.40,0.09,0,1,0.77,41.82,1673.80,2,1231,0.83,3.40,246.71,2,1093,0.14,3178.71,14566480.61,6,35399,0.71,278.06,1223174.60,5,79000,0.60,7056817,1,2
170b13af977e962321c493544b2bd0a9,192064,3248,64,0,0,0,0,0,0,192000,0,0,6846,6797,773,793,16.72,71.18,0,61,0.68,16.60,69.77,0,60,0.69,0.62,0.08,0,1,0.56,0.98,0.00,0.90,1,0.02,472.93,56657.07,0,1680,0.56,8.00,0.02,1,8,0.00,3783.27,3626383.41,0,13440,0.56,4740.44,501389.53,241,6720,0.71,8315837,15,2
18c0eb461bda29214bd43b84199a3b61,14017,744,0,2821,11160,31,0,0,0,0,0,5,13981,36,36,4681,52.58,2717.33,24,154,0.84,0.37,0.23,0,1,0.95,0.33,0.06,0,0.50,0.92,0.13,0.01,0.01,0.20,0.02,52.96,2753.29,24,155,0.84,2.81,0.45,2,31,0.38,157.29,24057.87,72,459,0.84,295.00,14514.91,68,4805,0.52,212796,1,1
195852083a05edee1902233698eec14a,4950,550,0,4510,0,110,220,110,0,0,0,0,4510,440,440,4510,16.40,3.28,12,20,0.90,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.05,20.40,3.28,16,24,0.90,2.27,0.77,2,6,0.28,53.20,29.55,40,64,0.90,46.60,344.85,32,139,0.69,61543,1,0
19e2c3a0865c8c1b4543d11213bebe5f,4046,450,0,3686,0,86,188,86,0,0,0,0,3686,360,360,3686,16.38,3.05,12,20,0.88,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.06,20.38,3.05,16,24,0.88,2.27,0.77,2,6,0.28,53.15,27.45,40,64,0.88,46.54,341.91,32,137,0.69,49855,1,0
1a1c9d1dc1ae7fcff92e3c3499864b75,447805,32365,0,407615,14084,7120,0,0,0,0,0,18986,419075,27304,15475,402947,26.28,788.65,1,1296,0.86,19.91,710.57,1,95,0.53,0.04,0.03,0,1,0.08,0.37,0.09,0,1,0.73,46.67,2128.70,2,1369,0.80,3.37,270.89,2,1507,0.13,3905.47,29959007.78,6,49985,0.66,311.30,2397474.72,5,144860,0.59,9702092,1,2
1a20d903db74ab566efc68a35e6b0ec5,276257,85224,1,107986,168270,0,0,0,0,0,0,0,181166,143716,35121,73075,5.11,947.69,2,8322,0.41,4.49,952.36,0,8330,0.40,0.39,0.13,0,1,0.66,0.83,0.02,0.33,1,0.00,8.46,3778.73,2,16652,0.42,2.61,0.24,1,3,0.61,22.84,25489.53,4,42222,0.41,1187.79,15808280.91,2,22817,0.61,5121953,1,1
1afa2d7a3d817c3149da432eece66da8,10295409,93713,0,10294859,0,0,0,0,0,1,0,549,10294859,550,550,10294859,219.71,6178.98,9,345,0.94,1,0,1,1,0,0,0,0,0,0,0.01,0.00,0.00,0.11,0.00,220.71,6178.98,10,346,0.94,2.01,1.97,2,349,0.00,659.56,20791.63,39,1039,0.93,499.65,104596.00,20,61365,0.75,162837570,1,39
1b0f4ff7984b8d4cf2873200fb1680fb,316876,26390,0,284961,11272,6026,0,0,0,0,0,14617,294304,21082,11094,281202,22.69,767.02,1,1024,0.80,17.56,401.00,1,92,0.56,0.05,0.04,0,1,0.09,0.40,0.08,0,1,0.76,40.78,1506.80,2,1098,0.82,3.40,233.01,2,1291,0.15,2936.33,12448878.89,6,33008,0.71,263.96,1086847.77,5,87715,0.61,6907894,1,2
1b3c7ac17705be94daaddb5f5ae4816b,705257,181773,1,178748,526508,0,0,0,0,0,0,0,354252,354195,1,175560,4.86,462.04,1,168,0.06,5.83,44.89,1,57,0.07,0.38,0.05,0,1,0.51,0.74,0.00,0.01,1,0.00,10.66,793.80,4,225,0.06,2.75,0.19,1,3,0.52,30.00,4915.80,10,564,0.06,233.86,22631.60,4,450,0.25,13675002,1,1
1e0da402100982e53001a64281149dd9,28151394,2380624,390981,23604221,3134943,389159,55,25,36,58,22,631894,25055775,5820796,834464,20883134,21.59,2233.35,0,8742,0.38,12.12,1275.24,0,13609,0.33,0.15,0.10,0,1,0.17,0.59,0.15,0.00,1,0.00,34.08,8059.25,0,17466,0.39,2.88,42.20,1,10683,0.12,597.25,5472152.59,0,71162,0.40,779.75,6823166.62,3,143250,0.37,707984485,38873,107
1e3c3e8d349759b8b482a6f2721762c4,86081,21240,25,0,84320,0,1736,0,0,0,0,0,21105,65001,1741,21100,2.98,254.92,1,187,0.52,9.34,2287.09,4,559,0.52,0.37,0.05,0,0.50,0.83,0.86,0.03,0.67,1,0.00,12.32,4067.33,5,745,0.52,3.04,0.08,1,5,0.09,37.77,36560.67,17,2233,0.52,1041.04,150160.54,25,1498,0.77,1491028,1,1
1e74212168124b696531fed471b480b1,5682,994,1,518,1371,3792,0,0,0,0,0,0,3213,2815,46,91,11.04,484.47,4,164,0.49,9.88,496.19,2,164,0.50,0.43,0.04,0,1,0.52,0.91,0.01,0.67,1,0.02,20.44,1972.88,5,328,0.52,3.58,0.43,1,4,0.60,75.54,32063.99,12,1312,0.50,418.22,130430.96,5,920,0.83,90373,1,0
